Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",7723,687,134.0,70.0
"Sun, Oct 12",9102,779,147.0,70.0
"Mon, Oct 13",10511,909,167.0,95.0
"Tue, Oct 14",9871,836,156.0,105.0
"Wed, Oct 15",10014,837,163.0,64.0
"Thu, Oct 16",9670,823,138.0,82.0
"Fri, Oct 17",9008,748,146.0,76.0
"Sat, Oct 18",7434,632,110.0,70.0
"Sun, Oct 19",8459,691,131.0,60.0
"Mon, Oct 20",10667,861,165.0,97.0
"Tue, Oct 21",10660,867,196.0,105.0
"Wed, Oct 22",9947,838,162.0,92.0
"Thu, Oct 23",8324,665,127.0,56.0
"Fri, Oct 24",9434,673,220.0,122.0
"Sat, Oct 25",8687,691,176.0,128.0
"Sun, Oct 26",8896,708,161.0,104.0
"Mon, Oct 27",9535,759,233.0,124.0
"Tue, Oct 28",9363,736,154.0,91.0
"Wed, Oct 29",9327,739,196.0,86.0
"Thu, Oct 30",9345,734,167.0,75.0
"Fri, Oct 31",8890,706,174.0,101.0
"Sat, Nov 1",8460,681,156.0,93.0
"Sun, Nov 2",8836,693,206.0,67.0
"Mon, Nov 3",9437,788,,
"Tue, Nov 4",9420,781,,
"Wed, Nov 5",9570,805,,
"Thu, Nov 6",9921,830,,
"Fri, Nov 7",9424,781,,
"Sat, Nov 8",9010,756,,
"Sun, Nov 9",9656,825,,
"Mon, Nov 10",10419,874,,
"Tue, Nov 11",9880,830,,
"Wed, Nov 12",10134,801,,
"Thu, Nov 13",9717,814,,
"Fri, Nov 14",9192,735,,
"Sat, Nov 15",8630,743,,
"Sun, Nov 16",8970,722,,
